region,encoding_weight,side,region_short,rounded_encoding_weights_viz
CxI,0.09180374482315123,common,CxI,0.1
Cx,0.1283016435844253,left,Cx,0.1
Cx,0.29244778081357503,right,Cx,0.3
D1STR,-0.5095457487375079,left,D1STR,-0.5
D1STR,0.4698778140733985,right,D1STR,0.5
D2STR,-0.06479430017458199,left,D2STR,-0.1
D2STR,0.07837514379780422,right,D2STR,0.1
FSI,0.0760717926476342,common,FSI,0.1
GPeP,-0.082796561398302,left,GPe,-0.1
GPeP,0.03802080954100345,right,GPe,0.0
GPi,2.257244233944072,left,GPi,2.3
GPi,-1.8430406912684805,right,GPi,-1.8
STNE,-0.04249508283984591,left,STN,-0.0
STNE,0.07088550632065664,right,STN,0.1
Th,-1.167069936491814,left,Th,-1.2
Th,1.5272506954698306,right,Th,1.5
